timestamp,total_mb,used_mb,free_mb,available_mb,buff_cache_mb,used_pct
2026-01-27_14:49:05.174,515635,26473,221093,483946,268068,5.13
2026-01-27_14:49:06.226,515635,26493,221109,483962,268032,5.13
2026-01-27_14:49:07.273,515635,26468,221112,483965,268055,5.13
2026-01-27_14:49:08.319,515635,26494,221072,483925,268068,5.13
2026-01-27_14:49:09.371,515635,26437,221129,483983,268068,5.12
2026-01-27_14:49:10.420,515635,26408,221158,484011,268068,5.12
2026-01-27_14:49:11.472,515635,26434,221132,483985,268068,5.12
2026-01-27_14:49:12.522,515635,26462,221104,483958,268068,5.13
2026-01-27_14:49:13.571,515635,26443,221125,483978,268066,5.12
2026-01-27_14:49:14.618,515635,26478,221117,483970,268039,5.13
2026-01-27_14:49:15.665,515635,26505,221068,483922,268060,5.14
2026-01-27_14:49:16.714,515635,26474,221092,483945,268068,5.13
2026-01-27_14:49:17.763,515635,26461,221105,483958,268068,5.13
2026-01-27_14:49:18.811,515635,26470,221096,483949,268068,5.13
2026-01-27_14:49:19.863,515635,26474,221092,483946,268068,5.13
2026-01-27_14:49:20.911,515635,26454,221112,483965,268068,5.13
2026-01-27_14:49:21.959,515635,26451,221115,483968,268068,5.12
2026-01-27_14:49:23.011,515635,26462,221127,483980,268045,5.13
2026-01-27_14:49:24.063,515635,26466,221101,483954,268068,5.13
2026-01-27_14:49:25.113,515635,26446,221120,483973,268068,5.12
2026-01-27_14:49:26.160,515635,26444,221122,483975,268068,5.12
2026-01-27_14:49:27.210,515635,26475,221091,483944,268068,5.13
2026-01-27_14:49:28.263,515635,26427,221139,483993,268068,5.12
2026-01-27_14:49:29.310,515635,26419,221147,484000,268068,5.12
2026-01-27_14:49:30.362,515635,26419,221183,484036,268032,5.12
2026-01-27_14:49:31.414,515635,26414,221170,484023,268051,5.12
2026-01-27_14:49:32.467,515635,26397,221169,484022,268068,5.11
2026-01-27_14:49:33.518,515635,26389,221177,484030,268068,5.11
2026-01-27_14:49:34.569,515635,26397,221169,484022,268068,5.11
2026-01-27_14:49:35.621,515635,26405,221161,484014,268068,5.12
2026-01-27_14:49:36.674,515635,26421,221145,483998,268068,5.12
2026-01-27_14:49:37.720,515635,26420,221146,483999,268068,5.12
2026-01-27_14:49:38.770,515635,26422,221172,484026,268039,5.12
2026-01-27_14:49:39.820,515635,26444,221134,483987,268056,5.12
2026-01-27_14:49:40.866,515635,26446,221120,483973,268068,5.12
