timestamp,gpu_index,gpu_util_pct,mem_util_pct,mem_used_mb,mem_total_mb,power_w,temp_c,sm_clock_mhz,mem_clock_mhz
2026-01-27_14:47:04.509,0, 94, 0, 2504, 95830, 107.45, 55, 1500, 2619
2026-01-27_14:47:04.509,1, 0, 0, 88, 95830, 87.41, 45, 1500, 2619
2026-01-27_14:47:05.576,0, 94, 0, 2504, 95830, 107.43, 56, 1500, 2619
2026-01-27_14:47:05.576,1, 0, 0, 88, 95830, 87.42, 45, 1500, 2619
2026-01-27_14:47:06.644,0, 93, 0, 2504, 95830, 107.39, 56, 1500, 2619
2026-01-27_14:47:06.644,1, 0, 0, 88, 95830, 87.36, 45, 1500, 2619
2026-01-27_14:47:07.711,0, 94, 0, 2504, 95830, 107.49, 56, 1500, 2619
2026-01-27_14:47:07.711,1, 0, 0, 88, 95830, 87.36, 45, 1500, 2619
2026-01-27_14:47:08.779,0, 92, 0, 2480, 95830, 107.17, 56, 1500, 2619
2026-01-27_14:47:08.779,1, 0, 0, 88, 95830, 87.42, 45, 1500, 2619
2026-01-27_14:47:09.848,0, 92, 0, 2504, 95830, 93.89, 55, 1500, 2619
2026-01-27_14:47:09.848,1, 0, 0, 88, 95830, 87.49, 45, 1500, 2619
2026-01-27_14:47:10.917,0, 94, 0, 2504, 95830, 107.73, 56, 1500, 2619
2026-01-27_14:47:10.917,1, 0, 0, 88, 95830, 87.36, 45, 1500, 2619
2026-01-27_14:47:11.985,0, 94, 0, 2504, 95830, 107.44, 56, 1500, 2619
2026-01-27_14:47:11.985,1, 0, 0, 88, 95830, 87.35, 45, 1500, 2619
2026-01-27_14:47:13.053,0, 94, 0, 2504, 95830, 107.80, 56, 1500, 2619
2026-01-27_14:47:13.053,1, 0, 0, 88, 95830, 87.36, 45, 1500, 2619
2026-01-27_14:47:14.122,0, 93, 0, 2504, 95830, 107.80, 56, 1500, 2619
2026-01-27_14:47:14.122,1, 0, 0, 88, 95830, 87.39, 45, 1500, 2619
2026-01-27_14:47:15.191,0, 70, 0, 2500, 95830, 105.85, 55, 1500, 2619
2026-01-27_14:47:15.191,1, 0, 0, 88, 95830, 87.40, 45, 1500, 2619
2026-01-27_14:47:16.266,0, 94, 0, 2504, 95830, 95.88, 56, 1500, 2619
2026-01-27_14:47:16.266,1, 0, 0, 88, 95830, 87.45, 45, 1500, 2619
2026-01-27_14:47:17.334,0, 90, 0, 2504, 95830, 107.12, 56, 1500, 2619
2026-01-27_14:47:17.334,1, 0, 0, 88, 95830, 87.42, 45, 1500, 2619
2026-01-27_14:47:18.399,0, 94, 0, 2504, 95830, 107.55, 56, 1500, 2619
2026-01-27_14:47:18.399,1, 0, 0, 88, 95830, 87.41, 45, 1500, 2619
2026-01-27_14:47:19.465,0, 91, 0, 2504, 95830, 107.46, 56, 1500, 2619
2026-01-27_14:47:19.465,1, 0, 0, 88, 95830, 87.42, 45, 1500, 2619
2026-01-27_14:47:20.531,0, 95, 0, 2504, 95830, 107.90, 56, 1500, 2619
2026-01-27_14:47:20.531,1, 0, 0, 88, 95830, 87.36, 45, 1500, 2619
2026-01-27_14:47:21.600,0, 0, 0, 2496, 95830, 104.15, 55, 1500, 2619
2026-01-27_14:47:21.600,1, 0, 0, 88, 95830, 87.35, 45, 1500, 2619
2026-01-27_14:47:22.678,0, 91, 0, 2504, 95830, 97.72, 56, 1500, 2619
2026-01-27_14:47:22.678,1, 0, 0, 88, 95830, 87.46, 45, 1500, 2619
2026-01-27_14:47:23.743,0, 94, 0, 2504, 95830, 107.73, 56, 1500, 2619
2026-01-27_14:47:23.743,1, 0, 0, 88, 95830, 87.35, 45, 1500, 2619
2026-01-27_14:47:24.810,0, 93, 0, 2504, 95830, 107.41, 56, 1500, 2619
2026-01-27_14:47:24.810,1, 0, 0, 88, 95830, 87.41, 45, 1500, 2619
2026-01-27_14:47:25.875,0, 93, 0, 2504, 95830, 107.40, 56, 1500, 2619
2026-01-27_14:47:25.875,1, 0, 0, 88, 95830, 87.34, 45, 1500, 2619
